From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank of America,26 mins,2025-06-29 23:49:34.388979,Driving,[],25 mins
Harpur Lane,Bank of America,26 mins,2025-06-29 23:50:43.239344,Driving,[],25 mins
Aon,Harpur Lane,56 mins,2025-06-30 00:30:08.616346,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:32:06.218431,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:49:48.216507,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:51:30.069301,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:56:53.991000,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:56:53.991000,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:59:15.019022,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 00:59:15.019022,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:03:01.084129,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:04:01.000802,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:05:01.707957,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:06:02.571275,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:15:01.251166,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:30:02.106326,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 01:49:23.633469,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,56 mins,2025-06-30 02:04:24.455240,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,53 mins,2025-06-30 04:27:40.943009,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,57 mins,2025-06-30 09:45:02.008677,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,57 mins,2025-06-30 10:00:03.095902,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 9 mins,2025-06-30 10:15:04.104886,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,57 mins,2025-06-30 10:30:05.263246,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,57 mins,2025-06-30 10:45:01.793562,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,57 mins,2025-06-30 11:00:03.234911,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 10 mins,2025-06-30 11:15:04.573951,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 11:30:05.929129,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 11:45:07.340389,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 12:00:08.877834,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 12:15:10.238310,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
"53.348847759098696, -6.254274103293622","53.362388516386325, -6.528995331027238",1 hour 3 mins,2025-06-30 12:47:13.597373,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
"53.348847759098696, -6.254274103293622","53.362388516386325, -6.528995331027238",35 mins,2025-06-30 12:47:14.002175,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 12:51:01.920005,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 12:51:02.461444,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:00:01.525979,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:00:01.908252,driving,,36 mins
Aon,Harpur Lane,1 hour 23 mins,2025-06-30 13:10:01.486873,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:10:01.905334,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:11:26.866783,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:11:27.307846,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:12:32.901514,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:12:37.190098,driving,,35 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:15:01.081577,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:15:01.536353,driving,,35 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:15:54.001982,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:15:54.478135,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:19:39.115299,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:19:39.552374,driving,,36 mins
