From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank of America,26 mins,2025-06-29 23:49:34.388979,Driving,[],25 mins
Harpur Lane,Bank of America,26 mins,2025-06-29 23:50:43.239344,Driving,[],25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:32:06.218431,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:49:48.216507,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:51:30.069301,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:56:53.991000,driving,,25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:56:53.991000,driving,,25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:59:15.019022,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 00:59:15.019022,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:03:00.954390,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:04:00.783501,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:05:01.520075,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:06:02.398688,driving,,24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:15:01.103956,driving,[],24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:30:01.911872,driving,[],25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 01:49:23.400771,driving,[],25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 02:04:24.260360,driving,[],25 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 04:27:40.775704,driving,[],24 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 09:45:01.799358,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 10:00:02.897154,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 10:15:03.900448,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 10:30:05.098799,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 10:45:01.624278,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 11:00:03.089563,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 11:15:04.409630,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 11:30:05.742466,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 11:45:07.166380,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 12:00:08.693524,driving,[],26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 12:15:10.046945,driving,[],26 mins
"53.27180686443137, -6.2020243934418895","53.362388516386325, -6.528995331027238",27 mins,2025-06-30 12:47:13.186039,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 12:51:01.539311,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:00:01.192912,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:10:01.084946,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:11:26.490002,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:12:28.451185,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:15:00.716338,driving,,26 mins
Bank of America,Harpur Lane,27 mins,2025-06-30 13:15:53.651560,driving,,26 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 13:19:38.733075,driving,,27 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 13:23:00.879407,driving,,27 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 13:30:01.025699,driving,,27 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 13:45:02.837242,driving,,26 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 14:00:04.493726,driving,,27 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 14:15:06.126453,driving,,27 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 14:30:07.972392,driving,,29 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 14:45:09.839593,driving,,32 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 15:00:11.577703,driving,,35 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 15:15:13.297872,driving,,40 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 15:30:15.017852,driving,,45 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 15:45:16.861539,driving,,49 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 16:00:18.730250,driving,,51 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 16:15:20.613209,driving,,55 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 16:30:22.444134,driving,,58 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 16:45:24.457947,driving,,58 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 17:00:26.382746,driving,,57 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 17:14:39.685943,driving,,57 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 17:15:28.113870,driving,,58 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 17:30:29.858438,driving,,53 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 17:45:31.577488,driving,,48 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 18:00:33.273567,driving,,41 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 18:15:34.928783,driving,,40 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 18:30:36.818079,driving,,31 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 18:45:38.352510,driving,,26 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 19:00:40.048769,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 19:15:41.756514,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 19:30:43.239421,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 19:45:44.785901,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 20:00:46.375629,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 20:15:47.937231,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 20:30:49.504561,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 20:45:51.053826,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 21:00:52.538649,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 21:15:54.228910,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 21:30:55.920024,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 21:45:57.450715,driving,,25 mins
Bank Of America,Harpur Lane,27 mins,2025-06-30 22:00:59.045316,driving,,25 mins
