From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank of America,26 mins,2025-06-29 23:49:34.388979,Driving,[],25 mins
Harpur Lane,Bank of America,26 mins,2025-06-29 23:50:43.239344,Driving,[],25 mins
Harpur Lane,Aon,53 mins,2025-06-30 00:30:08.616346,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:32:06.218431,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:49:48.216507,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:51:30.069301,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:56:53.991000,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:56:53.991000,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:59:15.019022,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 00:59:15.019022,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:03:00.829331,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:04:00.658107,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:05:01.362316,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:06:02.270678,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:15:00.958597,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:30:01.762760,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 01:49:23.271342,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,53 mins,2025-06-30 02:04:24.121088,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 5 mins,2025-06-30 04:27:40.600109,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 20 mins,2025-06-30 09:45:01.471666,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 10:00:02.708671,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 10:15:03.708951,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 28 mins,2025-06-30 10:30:04.871424,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,1 hour 28 mins,2025-06-30 10:45:01.088226,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 10:45:01.283562,driving,[],39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 11:00:02.569784,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 11:00:02.781272,driving,[],38 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 11:15:03.818531,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 11:15:04.017763,driving,[],39 mins
Harpur Lane,Aon,1 hour 23 mins,2025-06-30 11:30:05.180077,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 11:30:05.352439,driving,[],39 mins
Harpur Lane,Aon,1 hour 23 mins,2025-06-30 11:45:06.574974,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 11:45:06.844948,driving,[],39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 12:00:08.094717,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 12:00:08.354312,driving,[],38 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 12:15:09.582454,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 12:15:09.778313,driving,[],37 mins
"53.362388516386325, -6.528995331027238","53.348847759098696, -6.254274103293622",37 mins,2025-06-30 12:47:12.777389,driving,,37 mins
"53.362388516386325, -6.528995331027238","53.348847759098696, -6.254274103293622",1 hour 23 mins,2025-06-30 12:47:13.391124,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 12:51:01.188626,driving,,38 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 12:51:01.745433,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 13:00:00.768301,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 13:00:01.354679,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 13:10:00.785343,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 13:10:01.301401,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 13:11:26.154462,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 13:11:26.670801,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 13:12:23.877590,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-06-30 13:12:30.884226,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-06-30 13:15:00.292011,driving,,38 mins
