From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank of America,26 mins,2025-06-29 23:49:34.388979,Driving,[],25 mins
Harpur Lane,Bank of America,26 mins,2025-06-29 23:50:43.239344,Driving,[],25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:10:24.135686,Driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:27:28.190681,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:27:58.501483,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:30:08.616346,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:32:06.218431,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:49:48.216507,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:51:30.069301,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:56:53.991000,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:56:53.991000,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:59:15.019022,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 00:59:15.019022,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:03:00.603307,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:04:00.365041,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:05:01.185352,driving,,25 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:06:02.126151,driving,,24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:15:00.693632,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:30:01.474229,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 01:49:23.007187,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 02:04:23.878106,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 04:27:40.368667,driving,[],24 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 09:45:00.937765,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 10:00:02.452016,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 10:15:03.461756,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 10:30:04.614966,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 10:45:00.808290,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 11:00:02.292793,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 11:15:03.532458,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 11:30:04.918171,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 11:45:06.312841,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 12:00:07.790167,driving,[],26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 12:15:09.333814,driving,[],26 mins
"53.362388516386325, -6.528995331027238","53.27180686443137, -6.2020243934418895",26 mins,2025-06-30 12:47:12.510443,driving,,26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 12:51:00.751346,driving,,26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:00:00.457486,driving,,26 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:10:00.300439,driving,,27 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:11:25.942771,driving,,28 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:11:57.339795,driving,,28 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:15:00.025498,driving,,27 mins
Harpur Lane,Bank of America,26 mins,2025-06-30 13:15:52.976972,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 13:19:38.173165,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 13:23:00.220364,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 13:30:00.342482,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 13:45:02.264613,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 14:00:03.843228,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 14:15:05.573318,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 14:30:07.282439,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 14:45:09.172709,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 15:00:10.923109,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 15:15:12.662520,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 15:30:14.325794,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 15:45:16.217215,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 16:00:18.094780,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 16:15:20.040789,driving,,36 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 16:30:21.771708,driving,,35 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 16:45:23.836059,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 17:00:25.738381,driving,,35 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 17:14:38.944335,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 17:15:27.600013,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 17:30:29.248226,driving,,35 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 17:45:30.904078,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 18:00:32.706045,driving,,32 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 18:15:34.359798,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 18:30:36.142433,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 18:45:37.790174,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 19:00:39.456676,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 19:15:41.124677,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 19:30:42.680277,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 19:45:44.193491,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:00:45.806026,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:15:47.383029,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:30:48.914972,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:45:50.486997,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 21:00:52.001089,driving,,24 mins
